序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","苯<br />BENZENE<br />(ppb)","甲苯<br />TOLUENE<br />(ppb)","乙苯<br />ETHYLBENZENE<br />(ppb)","間、對二甲苯<br />M_P_XYLENES<br />(ppb)","鄰二甲苯<br />O_XYLENE<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨強度<br />RAIN_INT<br />(㎜)","降雨量<br />RAINFALL<br />(mm)","酸雨<br />PH_RAIN<br />(pH)","相對濕度<br />RH<br />(percent)","導電度<br />RAIN_COND<br />(μmho/cm)","紫外線指數<br />UVB<br />(UVI)","小時風向值<br />WD_HR<br />(degrees)"
1733,新北市,2012/02,林口,2.1,0.39,-,31.6,28,18,18.47,3.62,14.84,-,-,-,-,-,-,-,-,-,-,-,-,14.65,-,-,-,90.9,-,-,-
1734,新北市,2012/02,汐止,3.1,0.55,-,24.2,28,19,33.88,12.0,21.89,-,-,-,-,-,-,-,-,-,-,-,-,16.56,-,-,-,88.0,-,-,-
1735,新北市,2012/02,新店,2.2,0.53,-,25.9,26,19,22.88,5.41,17.48,-,-,-,-,-,-,-,-,-,-,-,-,16.38,-,-,-,81.96,-,-,-
1736,新北市,2012/02,淡水,2.1,0.4,-,36.2,27,20,15.83,4.06,11.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1737,新北市,2012/02,新莊,3.2,0.61,-,22.9,31,23,31.34,8.44,22.9,-,-,-,-,-,-,-,-,-,-,-,-,16.4,-,-,-,80.79,-,-,-
1738,新北市,2012/02,永和,3.3,1.13,-,20.1,36,26,47.39,22.47,24.92,-,2.392,0.42,1.97,-,-,-,-,-,-,-,-,16.71,-,-,-,79.39,-,-,-
1739,新北市,2012/01,林口,2.4,0.37,-,29.5,30,18,14.22,2.32,11.89,-,-,-,-,-,-,-,-,-,-,-,-,14.24,-,-,-,90.01,-,-,-
1740,新北市,2012/01,板橋,3.1,0.64,-,20.4,38,25,29.55,7.01,22.54,-,2.214,0.269,1.95,-,-,-,-,-,-,-,-,16.11,-,-,-,76.81,-,-,-
1741,新北市,2012/01,新店,2.0,0.48,-,22.8,28,20,19.03,3.61,15.41,-,-,-,-,-,-,-,-,-,-,-,-,15.81,-,-,-,82.16,-,-,-
1742,新北市,2012/01,土城,3.0,0.59,-,22.1,36,27,25.22,6.22,19.01,-,2.224,0.245,1.98,-,-,-,-,-,-,-,-,16.15,-,-,-,83.22,-,-,-
1743,新北市,2012/01,淡水,2.0,0.37,-,30.0,25,19,11.83,3.15,8.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1744,新北市,2012/01,永和,2.8,0.98,-,17.9,38,25,41.84,19.73,22.11,-,2.31,0.359,1.95,-,-,-,-,-,-,-,-,16.25,-,-,-,78.82,-,-,-
1745,新北市,2012/01,汐止,3.5,0.5,-,21.7,31,21,28.74,8.95,19.79,-,-,-,-,-,-,-,-,-,-,-,-,16.07,-,-,-,87.23,-,-,-
1746,新北市,2012/01,新莊,3.0,0.58,-,23.1,32,22,24.66,5.65,19.01,-,-,-,-,-,-,-,-,-,-,-,-,15.95,-,-,-,79.39,-,-,-
1747,新北市,2012/01,三重,2.9,1.87,-,-,54,29,134.96,94.35,40.61,-,2.82,0.749,2.07,-,-,-,-,-,-,-,-,16.12,-,-,-,75.85,-,-,-
1748,新北市,2012/01,萬里,1.9,0.31,-,38.2,48,18,6.77,1.62,5.15,-,-,-,-,-,-,-,-,-,-,-,-,16.29,-,-,-,82.79,-,-,-
1749,新北市,2012/01,菜寮,2.7,0.66,-,22.5,35,23,29.28,7.68,21.59,-,-,-,-,-,-,-,-,-,-,-,-,16.03,-,-,-,78.03,-,-,-
1750,新北市,2011/12,土城,2.6,0.51,-,21.4,34,23,23.09,5.0,18.09,-,2.213,0.208,2.01,-,-,-,-,-,-,-,-,17.16,-,-,-,82.09,-,-,-
1751,新北市,2011/12,三重,3.0,1.75,-,-,59,26,131.85,92.34,39.51,-,2.817,0.749,2.07,-,-,-,-,-,-,-,-,17.18,-,-,-,73.7,-,-,-
1752,新北市,2011/12,萬里,2.1,0.23,-,38.1,51,15,6.17,1.67,4.5,-,-,-,-,-,-,-,-,-,-,-,-,17.45,-,-,-,79.82,-,-,-
1753,新北市,2011/12,林口,2.3,0.3,-,28.6,29,16,14.04,2.14,11.9,-,-,-,-,-,-,-,-,-,-,-,-,15.23,-,-,-,87.82,-,-,-
1754,新北市,2011/12,永和,2.6,0.8,-,18.2,33,22,36.53,16.34,20.18,-,2.224,0.302,1.92,-,-,-,-,-,-,-,-,17.19,-,-,-,77.75,-,-,-
1755,新北市,2011/12,新莊,2.6,0.52,-,19.5,30,20,25.78,5.14,20.63,-,-,-,-,-,-,-,-,-,-,-,-,17.26,-,-,-,78.77,-,-,-
1756,新北市,2011/12,菜寮,2.7,0.61,-,19.9,33,20,29.52,7.36,22.15,-,-,-,-,-,-,-,-,-,-,-,-,17.19,-,-,-,75.54,-,-,-
1757,新北市,2011/12,新店,2.3,0.41,-,23.9,25,20,18.55,3.42,15.13,-,-,-,-,-,-,-,-,-,-,-,-,16.85,-,-,-,80.48,-,-,-
1758,新北市,2011/12,汐止,3.6,0.39,-,21.8,29,17,25.73,7.19,18.54,-,-,-,-,-,-,-,-,-,-,-,-,16.68,-,-,-,86.45,-,-,-
1759,新北市,2011/12,板橋,2.8,0.6,-,17.8,34,22,31.23,7.44,23.78,-,2.276,0.298,1.98,-,-,-,-,-,-,-,-,17.1,-,-,-,75.44,-,-,-
1760,新北市,2011/12,淡水,2.1,0.31,-,31.1,24,18,10.09,2.24,7.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1761,新北市,2011/11,土城,2.8,0.53,-,22.6,31,19,24.51,7.75,16.77,-,2.26,0.255,2.01,-,-,-,-,-,-,-,-,23.37,-,-,-,79.49,-,-,-
1762,新北市,2011/11,林口,2.3,0.3,-,29.4,30,16,15.86,3.31,12.54,-,-,-,-,-,-,-,-,-,-,-,-,21.63,-,-,-,85.59,-,-,-
1763,新北市,2011/11,汐止,3.7,0.36,-,22.8,27,17,24.76,8.03,16.74,-,-,-,-,-,-,-,-,-,-,-,-,23.01,-,-,-,84.24,-,-,-
1764,新北市,2011/11,淡水,1.7,0.3,-,30.3,25,16,12.26,3.37,8.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1765,新北市,2011/11,新莊,3.0,0.51,-,21.7,29,20,25.84,6.21,19.62,-,-,-,-,-,-,-,-,-,-,-,-,23.75,-,-,-,78.4,-,-,-
1766,新北市,2011/11,新店,2.1,0.37,-,25.9,23,15,16.15,3.75,12.4,-,-,-,-,-,-,-,-,-,-,-,-,23.04,-,-,-,77.55,-,-,-
1767,新北市,2011/11,永和,2.8,0.79,-,20.3,32,19,33.04,14.6,18.44,-,2.256,0.335,1.92,-,-,-,-,-,-,-,-,23.27,-,-,-,75.92,-,-,-
1768,新北市,2011/11,三重,3.0,1.8,-,-,52,28,122.51,83.72,38.78,-,2.837,0.758,2.08,-,-,-,-,-,-,-,-,23.22,-,-,-,73.94,-,-,-
1769,新北市,2011/11,菜寮,2.9,0.63,-,22.5,32,23,29.3,8.26,21.04,-,-,-,-,-,-,-,-,-,-,-,-,23.24,-,-,-,75.14,-,-,-
1770,新北市,2011/11,板橋,3.1,0.63,-,20.1,34,23,31.17,8.62,22.55,-,2.302,0.32,1.98,-,-,-,-,-,-,-,-,23.31,-,-,-,74.09,-,-,-
1771,新北市,2011/11,萬里,2.2,0.21,-,35.7,40,13,7.37,2.0,5.35,-,-,-,-,-,-,-,-,-,-,-,-,22.64,-,-,-,82.31,-,-,-
1772,新北市,2011/10,新店,2.0,0.34,-,31.6,34,20,14.17,2.92,11.25,-,-,-,-,-,-,-,-,-,-,-,-,24.06,-,-,-,77.13,-,-,-
1773,新北市,2011/10,汐止,4.0,0.36,-,26.9,37,22,25.38,8.31,17.07,-,-,-,-,-,-,-,-,-,-,-,-,24.16,-,-,-,83.9,-,-,-
1774,新北市,2011/10,三重,3.1,1.84,-,-,56,29,121.03,79.82,41.21,-,2.861,0.784,2.08,-,-,-,-,-,-,-,-,24.45,-,-,-,70.84,-,-,-
1775,新北市,2011/10,新莊,2.7,0.45,-,29.4,37,23,21.32,4.55,16.77,-,-,-,-,-,-,-,-,-,-,-,-,25.1,-,-,-,74.12,-,-,-
1776,新北市,2011/10,菜寮,2.9,0.56,-,31.7,41,27,25.29,6.83,18.45,-,-,-,-,-,-,-,-,-,-,-,-,24.56,-,-,-,72.15,-,-,-
1777,新北市,2011/10,萬里,2.2,0.2,-,43.5,62,18,6.9,1.9,4.98,-,-,-,-,-,-,-,-,-,-,-,-,24.09,-,-,-,80.29,-,-,-
1778,新北市,2011/10,永和,2.6,0.77,-,26.2,38,24,30.89,12.94,17.95,-,2.259,0.328,1.93,-,-,-,-,-,-,-,-,24.37,-,-,-,74.34,-,-,-
1779,新北市,2011/10,板橋,2.9,0.55,-,27.5,41,25,27.23,6.49,20.74,-,2.237,0.27,1.97,-,-,-,-,-,-,-,-,24.44,-,-,-,71.77,-,-,-
1780,新北市,2011/10,土城,2.8,0.46,-,29.1,39,23,20.7,5.79,14.92,-,2.169,0.196,1.97,-,-,-,-,-,-,-,-,24.53,-,-,-,78.24,-,-,-
1781,新北市,2011/10,淡水,2.0,0.31,-,32.1,30,22,12.06,3.86,8.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1782,新北市,2011/10,林口,2.8,0.29,-,35.7,39,22,19.33,5.5,13.82,-,-,-,-,-,-,-,-,-,-,-,-,22.97,-,-,-,81.99,-,-,-
1783,新北市,2011/09,汐止,4.8,0.35,-,24.2,41,24,23.19,6.12,17.07,-,-,-,-,-,-,-,-,-,-,-,-,27.68,-,-,-,76.73,-,-,-
1784,新北市,2011/09,永和,3.0,0.78,-,24.9,42,30,28.81,10.86,17.95,-,2.228,0.307,1.92,-,-,-,-,-,-,-,-,27.94,-,-,-,67.61,-,-,-
1785,新北市,2011/09,板橋,4.2,0.53,-,28.8,43,29,25.04,5.0,20.03,-,2.238,0.264,1.98,-,-,-,-,-,-,-,-,27.68,-,-,-,65.33,-,-,-
1786,新北市,2011/09,林口,3.3,0.3,-,32.3,46,25,15.39,2.55,12.84,-,-,-,-,-,-,-,-,-,-,-,-,26.52,-,-,-,76.14,-,-,-
1787,新北市,2011/09,新莊,3.6,0.44,-,30.8,44,26,19.62,3.49,16.13,-,-,-,-,-,-,-,-,-,-,-,-,28.64,-,-,-,67.52,-,-,-
1788,新北市,2011/09,土城,3.6,0.47,-,29.1,47,29,21.92,5.99,15.93,-,2.178,0.206,1.97,-,-,-,-,-,-,-,-,27.99,-,-,-,71.32,-,-,-
1789,新北市,2011/09,萬里,2.7,0.2,-,36.8,53,21,7.32,1.87,5.44,-,-,-,-,-,-,-,-,-,-,-,-,26.67,-,-,-,79.28,-,-,-
1790,新北市,2011/09,菜寮,3.6,0.51,-,31.6,47,31,21.81,4.32,17.49,-,-,-,-,-,-,-,-,-,-,-,-,28.09,-,-,-,66.52,-,-,-
1791,新北市,2011/09,三重,3.9,1.65,-,-,60,35,104.81,66.52,38.29,-,2.681,0.676,2.01,-,-,-,-,-,-,-,-,28.0,-,-,-,65.48,-,-,-
1792,新北市,2011/09,淡水,2.7,0.33,-,31.9,38,27,11.71,2.23,9.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1793,新北市,2011/09,新店,2.8,0.33,-,32.4,40,24,12.82,2.3,10.51,-,-,-,-,-,-,-,-,-,-,-,-,27.46,-,-,-,70.05,-,-,-
1794,新北市,2011/08,汐止,4.4,0.35,-,19.4,28,18,26.08,9.99,16.09,-,-,-,-,-,-,-,-,-,-,-,-,30.0,-,-,-,75.23,-,-,-
1795,新北市,2011/08,淡水,3.1,0.3,-,22.1,27,17,14.67,3.42,11.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1796,新北市,2011/08,永和,2.8,0.98,-,17.0,32,22,35.57,15.41,20.16,-,2.21,0.38,1.83,-,-,-,-,-,-,-,-,30.12,-,-,-,69.04,-,-,-
1797,新北市,2011/08,三重,3.8,1.61,-,-,50,29,103.37,69.17,34.19,-,2.601,0.68,1.92,-,-,-,-,-,-,-,-,29.78,-,-,-,67.79,-,-,-
1798,新北市,2011/08,林口,4.8,0.27,-,21.4,37,20,21.22,5.05,16.17,-,-,-,-,-,-,-,-,-,-,-,-,28.52,-,-,-,78.43,-,-,-
1799,新北市,2011/08,板橋,4.7,0.51,-,23.8,33,22,26.31,6.55,19.76,-,2.252,0.286,1.97,-,-,-,-,-,-,-,-,29.55,-,-,-,67.52,-,-,-
1800,新北市,2011/08,新店,2.6,0.31,-,26.6,34,18,14.07,2.56,11.51,-,-,-,-,-,-,-,-,-,-,-,-,29.32,-,-,-,73.09,-,-,-
1801,新北市,2011/08,萬里,3.5,0.16,-,25.6,27,14,10.33,2.74,7.58,-,-,-,-,-,-,-,-,-,-,-,-,28.89,-,-,-,77.62,-,-,-
1802,新北市,2011/08,土城,4.2,0.44,-,22.4,40,24,24.63,7.6,17.02,-,2.187,0.26,1.93,-,-,-,-,-,-,-,-,29.62,-,-,-,75.18,-,-,-
1803,新北市,2011/08,新莊,5.3,0.43,-,22.6,34,21,22.47,5.23,17.24,-,-,-,-,-,-,-,-,-,-,-,-,30.51,-,-,-,70.48,-,-,-
1804,新北市,2011/08,菜寮,4.1,0.5,-,24.1,33,22,24.58,5.57,19.01,-,-,-,-,-,-,-,-,-,-,-,-,30.06,-,-,-,68.53,-,-,-
1805,新北市,2011/07,新店,2.5,0.31,-,26.2,32,19,14.46,2.99,11.46,-,-,-,-,-,-,-,-,-,-,-,-,29.6,-,-,-,72.73,-,-,-
1806,新北市,2011/07,菜寮,4.5,0.56,-,20.5,37,24,28.31,7.79,20.51,-,-,-,-,-,-,-,-,-,-,-,-,30.15,-,-,-,67.86,-,-,-
1807,新北市,2011/07,三重,4.3,1.72,-,-,51,31,113.35,77.44,35.92,-,2.659,0.731,1.93,-,-,-,-,-,-,-,-,29.91,-,-,-,67.04,-,-,-
1808,新北市,2011/07,萬里,3.1,0.22,-,29.0,25,15,10.6,2.45,8.15,-,-,-,-,-,-,-,-,-,-,-,-,29.02,-,-,-,78.54,-,-,-
1809,新北市,2011/07,淡水,3.3,0.32,-,20.5,32,18,17.14,4.4,12.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1810,新北市,2011/07,林口,5.1,0.29,-,23.1,39,24,23.22,5.59,17.62,-,-,-,-,-,-,-,-,-,-,-,-,28.76,-,-,-,77.2,-,-,-
1811,新北市,2011/07,永和,3.0,1.06,-,16.3,33,23,38.72,16.76,21.95,-,2.184,0.425,1.76,-,-,-,-,-,-,-,-,30.09,-,-,-,68.94,-,-,-
1812,新北市,2011/07,板橋,5.5,0.52,-,22.8,36,23,28.17,7.92,20.25,-,2.265,0.33,1.94,-,-,-,-,-,-,-,-,30.66,-,-,-,67.38,-,-,-
1813,新北市,2011/07,新莊,8.2,0.48,-,20.8,38,24,28.14,8.17,19.97,-,-,-,-,-,-,-,-,-,-,-,-,30.58,-,-,-,69.97,-,-,-
1814,新北市,2011/07,汐止,3.8,0.39,-,23.3,34,20,26.09,9.01,17.08,-,-,-,-,-,-,-,-,-,-,-,-,30.3,-,-,-,74.64,-,-,-
1815,新北市,2011/07,土城,4.1,0.46,-,22.4,36,25,28.02,9.68,18.34,-,2.163,0.259,1.9,-,-,-,-,-,-,-,-,29.59,-,-,-,75.71,-,-,-
1816,新北市,2011/06,永和,3.2,1.09,-,15.1,35,22,41.35,17.92,23.42,-,2.173,0.442,1.73,-,-,-,-,-,-,-,-,29.13,-,-,-,70.75,-,-,-
1817,新北市,2011/06,三重,4.2,1.78,-,-,51,29,115.05,78.42,36.63,-,2.72,0.754,1.97,-,-,-,-,-,-,-,-,29.26,-,-,-,67.94,-,-,-
1818,新北市,2011/06,板橋,5.1,0.58,-,21.9,38,26,28.78,7.45,21.32,-,2.307,0.383,1.92,-,-,-,-,-,-,-,-,30.15,-,-,-,68.71,-,-,-
1819,新北市,2011/06,萬里,2.9,0.21,-,26.9,27,14,10.64,2.23,8.41,-,-,-,-,-,-,-,-,-,-,-,-,28.05,-,-,-,86.09,-,-,-
1820,新北市,2011/06,土城,4.2,0.5,-,22.5,39,28,29.06,9.89,19.17,-,2.117,0.279,1.84,-,-,-,-,-,-,-,-,29.21,-,-,-,75.99,-,-,-
1821,新北市,2011/06,汐止,4.3,0.41,-,20.1,35,21,28.98,10.43,18.55,-,-,-,-,-,-,-,-,-,-,-,-,29.19,-,-,-,79.67,-,-,-
1822,新北市,2011/06,淡水,3.0,0.34,-,19.7,28,20,17.27,4.29,12.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1823,新北市,2011/06,新莊,6.4,0.55,-,21.1,37,24,30.14,7.96,22.18,-,-,-,-,-,-,-,-,-,-,-,-,29.96,-,-,-,70.48,-,-,-
1824,新北市,2011/06,林口,4.7,0.33,-,22.1,39,21,24.14,5.53,18.6,-,-,-,-,-,-,-,-,-,-,-,-,27.82,-,-,-,78.74,-,-,-
1825,新北市,2011/06,新店,2.5,0.36,-,25.1,32,20,15.82,3.14,12.69,-,-,-,-,-,-,-,-,-,-,-,-,28.95,-,-,-,76.8,-,-,-
1826,新北市,2011/06,菜寮,4.3,0.62,-,18.8,39,22,29.53,7.52,22.0,-,-,-,-,-,-,-,-,-,-,-,-,29.44,-,-,-,68.87,-,-,-
1827,新北市,2011/05,菜寮,3.9,0.67,-,31.9,43,27,30.49,6.37,24.12,-,-,-,-,-,-,-,-,-,-,-,-,25.08,-,-,-,75.46,-,-,-
1828,新北市,2011/05,林口,3.9,0.4,-,36.8,42,25,22.27,3.85,18.42,-,-,-,-,-,-,-,-,-,-,-,-,23.34,-,-,-,85.4,-,-,-
1829,新北市,2011/05,萬里,2.5,0.25,-,42.1,39,17,10.9,2.09,8.81,-,-,-,-,-,-,-,-,-,-,-,-,23.98,-,-,-,90.53,-,-,-
1830,新北市,2011/05,土城,3.9,0.58,-,32.8,51,35,28.02,6.82,21.2,-,2.207,0.279,1.93,-,-,-,-,-,-,-,-,25.39,-,-,-,78.49,-,-,-
1831,新北市,2011/05,新店,2.6,0.43,-,35.3,36,21,18.7,2.98,15.72,-,-,-,-,-,-,-,-,-,-,-,-,24.91,-,-,-,82.34,-,-,-
1832,新北市,2011/05,永和,3.5,1.08,-,25.8,43,27,44.39,17.01,27.39,-,2.21,0.432,1.78,-,-,-,-,-,-,-,-,24.87,-,-,-,75.76,-,-,-
1833,新北市,2011/05,汐止,4.0,0.46,-,29.4,39,26,29.76,8.07,21.69,-,-,-,-,-,-,-,-,-,-,-,-,24.61,-,-,-,86.96,-,-,-
1834,新北市,2011/05,淡水,2.6,0.41,-,33.4,33,23,17.32,3.57,13.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1835,新北市,2011/05,板橋,4.3,0.66,-,31.6,48,36,31.2,5.77,25.43,-,2.409,0.392,2.02,-,-,-,-,-,-,-,-,25.56,-,-,-,73.77,-,-,-
1836,新北市,2011/05,三重,3.4,1.75,-,-,54,33,115.62,70.21,45.4,-,2.787,0.755,2.03,-,-,-,-,-,-,-,-,24.75,-,-,-,73.81,-,-,-
1837,新北市,2011/05,新莊,5.1,0.6,-,31.5,44,30,30.74,6.12,24.62,-,-,-,-,-,-,-,-,-,-,-,-,25.46,-,-,-,76.64,-,-,-
1838,新北市,2011/04,林口,4.8,0.46,-,45.5,75,40,22.59,2.89,19.7,-,-,-,-,-,-,-,-,-,-,-,-,20.32,-,-,-,72.61,-,-,-
1839,新北市,2011/04,淡水,3.3,0.48,-,41.1,61,38,19.89,3.13,16.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1840,新北市,2011/04,汐止,4.7,0.53,-,36.6,67,41,35.78,9.86,25.92,-,-,-,-,-,-,-,-,-,-,-,-,21.23,-,-,-,76.81,-,-,-
1841,新北市,2011/04,土城,5.2,0.67,-,38.4,80,48,35.52,9.53,25.99,-,2.355,0.321,2.03,-,-,-,-,-,-,-,-,21.85,-,-,-,68.19,-,-,-
1842,新北市,2011/04,萬里,2.9,0.32,-,51.9,63,29,10.62,1.82,8.8,-,-,-,-,-,-,-,-,-,-,-,-,20.35,-,-,-,82.13,-,-,-
1843,新北市,2011/04,板橋,5.5,0.71,-,36.7,77,50,34.67,5.64,29.03,-,2.467,0.374,2.09,-,-,-,-,-,-,-,-,22.45,-,-,-,62.77,-,-,-
1844,新北市,2011/04,三重,3.9,1.79,-,-,82,49,129.82,75.77,54.05,-,2.836,0.782,2.05,-,-,-,-,-,-,-,-,21.79,-,-,-,63.46,-,-,-
1845,新北市,2011/04,永和,3.6,1.01,-,34.8,72,45,43.76,14.09,29.67,-,2.174,0.412,1.76,-,-,-,-,-,-,-,-,21.76,-,-,-,64.79,-,-,-
1846,新北市,2011/04,菜寮,4.4,0.71,-,38.8,74,42,33.62,6.27,27.36,-,-,-,-,-,-,-,-,-,-,-,-,22.09,-,-,-,64.57,-,-,-
1847,新北市,2011/04,新店,3.0,0.45,-,45.6,62,35,18.07,2.11,15.96,-,-,-,-,-,-,-,-,-,-,-,-,21.79,-,-,-,70.65,-,-,-
1848,新北市,2011/04,新莊,6.6,0.66,-,38.2,75,48,35.09,6.82,28.27,-,-,-,-,-,-,-,-,-,-,-,-,22.3,-,-,-,65.92,-,-,-
1849,新北市,2011/03,新莊,4.4,0.59,-,36.4,62,38,30.48,6.35,24.12,-,-,-,-,-,-,-,-,-,-,-,-,16.82,-,-,-,69.94,-,-,-
1850,新北市,2011/03,萬里,3.3,0.33,-,52.9,70,27,9.82,1.97,7.84,-,-,-,-,-,-,-,-,-,-,-,-,16.17,-,-,-,81.6,-,-,-
1851,新北市,2011/03,新店,2.9,0.52,-,38.2,51,30,22.09,4.47,17.63,-,-,-,-,-,-,-,-,-,-,-,-,16.24,-,-,-,76.57,-,-,-
1852,新北市,2011/03,板橋,4.4,0.74,-,33.0,68,39,35.78,7.87,27.91,-,2.462,0.33,2.13,-,-,-,-,-,-,-,-,16.89,-,-,-,67.64,-,-,-
1853,新北市,2011/03,土城,4.3,0.65,-,36.9,67,41,29.21,6.75,22.46,-,2.359,0.33,2.03,-,-,-,-,-,-,-,-,16.48,-,-,-,72.06,-,-,-
1854,新北市,2011/03,菜寮,4.1,0.77,-,34.4,64,37,37.33,10.43,26.89,-,-,-,-,-,-,-,-,-,-,-,-,16.89,-,-,-,68.93,-,-,-
1855,新北市,2011/03,永和,3.9,0.96,-,31.6,64,41,46.02,19.65,26.37,-,2.182,0.383,1.8,-,-,-,-,-,-,-,-,16.29,-,-,-,70.76,-,-,-
1856,新北市,2011/03,林口,3.6,0.4,-,42.3,57,31,17.61,2.66,14.95,-,-,-,-,-,-,-,-,-,-,-,-,14.45,-,-,-,79.38,-,-,-
1857,新北市,2011/03,汐止,4.8,0.55,-,34.2,59,34,34.97,9.92,25.05,-,-,-,-,-,-,-,-,-,-,-,-,16.13,-,-,-,81.66,-,-,-
1858,新北市,2011/03,三重,3.7,1.79,-,-,75,44,133.63,83.66,49.97,-,2.806,0.792,2.02,-,-,-,-,-,-,-,-,16.2,-,-,-,68.43,-,-,-
1859,新北市,2011/03,淡水,2.9,0.39,-,42.3,49,31,14.56,2.6,11.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1860,新北市,2011/02,萬里,2.2,0.35,-,41.1,49,25,8.34,1.69,6.65,-,-,-,-,-,-,-,-,-,-,-,-,16.79,-,-,-,86.11,-,-,-
1861,新北市,2011/02,土城,3.8,0.72,-,27.8,59,39,34.32,9.87,24.45,-,2.442,0.349,2.09,-,-,-,-,-,-,-,-,17.02,-,-,-,76.28,-,-,-
1862,新北市,2011/02,汐止,3.9,0.59,-,24.5,48,31,36.07,10.78,25.29,-,-,-,-,-,-,-,-,-,-,-,-,16.9,-,-,-,86.16,-,-,-
1863,新北市,2011/02,淡水,2.7,0.44,-,32.4,41,31,16.99,3.51,13.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1864,新北市,2011/02,新莊,4.3,0.65,-,28.4,53,38,31.25,7.61,23.64,-,-,-,-,-,-,-,-,-,-,-,-,17.31,-,-,-,74.42,-,-,-
1865,新北市,2011/02,林口,3.1,0.44,-,37.6,46,31,17.74,3.1,14.63,-,-,-,-,-,-,-,-,-,-,-,-,15.07,-,-,-,82.69,-,-,-
1866,新北市,2011/02,新店,2.6,0.56,-,28.3,45,32,23.27,4.21,19.06,-,-,-,-,-,-,-,-,-,-,-,-,16.89,-,-,-,80.34,-,-,-
1867,新北市,2011/02,菜寮,3.7,0.89,-,25.0,58,38,44.37,15.62,28.75,-,-,-,-,-,-,-,-,-,-,-,-,17.35,-,-,-,72.99,-,-,-
1868,新北市,2011/02,永和,3.1,1.05,-,22.8,55,39,50.05,21.78,28.27,-,2.214,0.431,1.78,-,-,-,-,-,-,-,-,17.06,-,-,-,73.71,-,-,-
1869,新北市,2011/02,三重,3.6,1.94,-,-,70,45,143.48,97.04,46.44,-,2.854,0.809,2.05,-,-,-,-,-,-,-,-,16.68,-,-,-,72.33,-,-,-
1870,新北市,2011/02,板橋,3.9,0.8,-,26.1,59,37,37.04,8.6,28.44,-,2.51,0.359,2.15,-,-,-,-,-,-,-,-,17.57,-,-,-,70.48,-,-,-
1871,新北市,2011/01,土城,3.2,0.56,-,22.0,34,21,24.84,4.85,19.99,-,2.159,0.215,1.94,-,-,-,-,-,-,-,-,14.12,-,-,-,79.72,-,-,-
1872,新北市,2011/01,永和,3.1,0.84,-,19.1,37,23,41.81,18.81,23.0,-,2.085,0.336,1.75,-,-,-,-,-,-,-,-,13.92,-,-,-,78.43,-,-,-
1873,新北市,2011/01,新店,2.6,0.47,-,22.6,28,22,21.07,4.24,16.82,-,-,-,-,-,-,-,-,-,-,-,-,13.73,-,-,-,84.18,-,-,-
1874,新北市,2011/01,汐止,3.8,0.45,-,22.7,30,19,28.42,7.44,20.98,-,-,-,-,-,-,-,-,-,-,-,-,13.64,-,-,-,90.17,-,-,-
1875,新北市,2011/01,菜寮,3.5,0.68,-,20.3,34,22,32.54,8.93,23.61,-,-,-,-,-,-,-,-,-,-,-,-,14.51,-,-,-,75.13,-,-,-
1876,新北市,2011/01,林口,2.8,0.36,-,28.6,29,18,14.77,2.53,12.25,-,-,-,-,-,-,-,-,-,-,-,-,11.99,-,-,-,86.39,-,-,-
1877,新北市,2011/01,三重,3.7,1.84,-,-,53,30,136.84,96.92,39.92,-,2.766,0.806,1.96,-,-,-,-,-,-,-,-,13.93,-,-,-,73.8,-,-,-
1878,新北市,2011/01,萬里,2.3,0.27,-,38.3,49,17,6.25,1.57,4.67,-,-,-,-,-,-,-,-,-,-,-,-,14.5,-,-,-,86.14,-,-,-
