序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","平均風速<br />WS_HR<br />(m/sec)","平均風向<br />WD_HR<br />(degress)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨量<br />RAINFALL<br />(mm)","酸雨pH值<br />pH_RAIN","相對濕度<br />RH<br />(percent)","紫外線指數<br />UVB<br />(UVI)"
880,新北市,2008/05,新店,2.8,0.45,-,33.2,39,20,20.36,4.15,16.21,-,-,-,-,-,25.05,-,-,75.43,-
881,新北市,2008/05,淡水,3.0,0.49,-,31.1,45,23,24.13,7.15,16.97,-,-,-,-,-,-,-,-,-,-
882,新北市,2008/05,汐止,4.2,0.54,-,32.3,47,24,30.03,8.62,21.4,-,-,-,-,-,25.07,-,-,78.39,-
883,新北市,2008/05,土城,4.4,0.63,-,34.4,48,26,31.93,9.75,22.17,2.337,0.329,2.008,-,-,25.04,-,-,71.35,-
884,新北市,2008/05,林口,5.3,0.41,-,38.2,48,24,23.56,4.38,19.17,-,-,-,-,-,23.29,-,-,73.53,-
885,新北市,2008/05,萬里,2.6,0.3,-,46.9,40,19,9.59,1.8,7.78,-,-,-,-,-,23.73,-,-,78.85,-
886,新北市,2008/04,板橋,5.0,0.86,-,29.7,55,35,38.6,8.81,29.79,2.535,0.425,2.11,-,-,22.98,-,-,70.42,-
887,新北市,2008/04,三重,4.8,1.93,-,-,72,41,118.62,70.65,47.97,2.812,0.82,1.993,-,-,23.26,-,-,70.3,-
888,新北市,2008/04,菜寮,4.5,0.89,-,35.2,53,36,39.6,11.81,27.79,-,-,-,-,-,23.17,-,-,70.98,-
889,新北市,2008/04,永和,4.2,1.21,-,29.0,57,36,52.08,20.7,31.39,-,-,-,-,-,22.77,-,-,73.12,-
890,新北市,2008/04,新莊,6.4,0.71,-,37.4,54,35,33.22,7.32,25.9,-,-,-,-,-,22.8,-,-,71.88,-
891,新北市,2008/04,新店,2.9,0.58,-,35.9,46,26,23.41,4.67,18.73,-,-,-,-,-,22.96,-,-,77.28,-
892,新北市,2008/04,淡水,3.2,0.56,-,33.5,42,27,21.99,4.57,17.4,-,-,-,-,-,-,-,-,-,-
893,新北市,2008/04,汐止,4.7,0.63,-,31.4,53,30,34.57,9.56,25.01,-,-,-,-,-,22.71,-,-,81.31,-
894,新北市,2008/04,土城,4.5,0.74,-,33.1,55,32,34.79,9.81,24.98,2.438,0.383,2.055,-,-,22.81,-,-,74.48,-
895,新北市,2008/04,林口,5.1,0.44,-,39.0,52,29,22.84,3.33,19.49,-,-,-,-,-,20.59,-,-,78.6,-
896,新北市,2008/04,萬里,2.6,0.35,-,48.4,46,24,9.63,1.5,8.12,-,-,-,-,-,21.48,-,-,80.85,-
897,新北市,2008/03,板橋,5.6,0.76,-,29.5,76,42,37.71,6.8,30.9,2.503,0.412,2.091,-,-,19.62,-,-,64.46,-
898,新北市,2008/03,三重,4.8,1.76,-,-,93,50,125.16,74.63,50.53,2.744,0.795,1.949,-,-,19.94,-,-,64.94,-
899,新北市,2008/03,菜寮,4.9,0.81,-,33.3,76,44,40.28,9.8,30.47,-,-,-,-,-,19.82,-,-,65.62,-
900,新北市,2008/03,永和,4.7,1.07,-,30.9,78,45,52.43,20.23,32.2,-,-,-,-,-,19.52,-,-,66.99,-
901,新北市,2008/03,新莊,6.3,0.69,-,34.1,77,43,34.91,6.65,28.25,-,-,-,-,-,18.94,-,-,68.6,-
902,新北市,2008/03,新店,3.6,0.56,-,30.0,64,35,24.78,4.35,20.43,-,-,-,-,-,19.35,-,-,69.74,-
903,新北市,2008/03,淡水,3.7,0.55,-,36.9,64,36,21.04,3.18,17.85,-,-,-,-,-,-,-,-,-,-
904,新北市,2008/03,汐止,4.9,0.58,-,31.7,76,38,33.54,8.01,25.52,-,-,-,-,-,19.38,-,-,75.77,-
905,新北市,2008/03,土城,5.1,0.69,-,34.4,73,39,35.14,8.64,26.49,2.417,0.359,2.058,-,-,19.48,-,-,68.92,-
906,新北市,2008/03,林口,5.1,0.44,-,43.8,75,39,21.18,2.74,18.42,-,-,-,-,-,17.1,-,-,73.23,-
907,新北市,2008/03,萬里,2.8,0.33,-,48.8,66,30,9.88,1.23,8.64,-,-,-,-,-,18.17,-,-,75.3,-
908,新北市,2008/02,板橋,4.4,0.73,-,21.7,51,32,35.29,8.08,27.21,2.409,0.348,2.061,-,-,14.34,-,-,75.01,-
909,新北市,2008/02,三重,4.7,1.87,-,-,75,45,134.72,91.25,43.47,2.718,0.79,1.928,-,-,14.82,-,-,74.46,-
910,新北市,2008/02,菜寮,4.6,0.81,-,23.4,53,35,40.61,12.86,27.74,-,-,-,-,-,14.63,-,-,75.98,-
911,新北市,2008/02,永和,4.2,0.99,-,22.0,55,38,53.6,24.84,28.76,-,-,-,-,-,14.24,-,-,79.16,-
912,新北市,2008/02,新莊,5.4,0.62,-,27.3,48,33,29.07,6.47,22.59,-,-,-,-,-,13.75,-,-,78.03,-
913,新北市,2008/02,新店,3.3,0.56,-,26.7,42,26,24.19,4.46,19.72,-,-,-,-,-,14.11,-,-,82.09,-
914,新北市,2008/02,淡水,3.1,0.49,-,34.3,44,28,15.05,2.94,12.09,-,-,-,-,-,-,-,-,-,-
915,新北市,2008/02,汐止,3.3,0.53,-,29.2,49,29,27.07,6.79,20.26,-,-,-,-,-,14.71,-,-,85.17,-
916,新北市,2008/02,土城,4.1,0.64,-,25.4,46,30,29.17,6.2,22.96,2.346,0.291,2.055,-,-,14.47,-,-,79.22,-
917,新北市,2008/02,林口,3.8,0.41,-,36.8,49,22,15.37,2.49,12.84,-,-,-,-,-,11.74,-,-,82.72,-
918,新北市,2008/02,萬里,2.6,0.33,-,45.1,59,26,6.52,1.07,5.42,-,-,-,-,-,14.41,-,-,79.45,-
919,新北市,2008/01,板橋,5.0,0.76,-,17.9,48,31,40.02,10.27,29.75,2.423,0.37,2.054,-,-,16.91,-,-,74.0,-
920,新北市,2008/01,三重,4.8,1.83,-,-,63,31,118.78,79.04,39.74,2.761,0.817,1.943,-,-,17.5,-,-,72.63,-
921,新北市,2008/01,菜寮,4.5,0.79,-,21.3,46,27,37.67,10.93,26.74,-,-,-,-,-,17.31,-,-,74.07,-
922,新北市,2008/01,永和,4.8,0.97,-,19.9,47,29,47.1,20.74,26.36,-,-,-,-,-,16.81,-,-,78.31,-
923,新北市,2008/01,新莊,5.6,0.7,-,22.6,45,29,34.23,8.37,25.86,-,-,-,-,-,16.5,-,-,76.23,-
924,新北市,2008/01,新店,3.3,0.52,-,22.5,33,20,21.84,4.39,17.44,-,-,-,-,-,16.5,-,-,80.69,-
925,新北市,2008/01,淡水,2.8,0.49,-,28.2,42,24,16.15,3.56,12.58,-,-,-,-,-,-,-,-,-,-
926,新北市,2008/01,汐止,5.4,0.54,-,21.3,43,24,31.22,8.71,22.51,-,-,-,-,-,16.74,-,-,87.36,-
927,新北市,2008/01,土城,4.5,0.66,-,20.2,48,29,32.64,8.35,24.29,2.401,0.341,2.06,-,-,16.8,-,-,77.5,-
928,新北市,2008/01,林口,4.1,0.46,-,21.8,50,26,19.42,3.35,16.05,-,-,-,-,-,14.45,-,-,82.03,-
929,新北市,2008/01,萬里,2.1,0.34,-,32.7,46,18,7.88,1.61,6.26,-,-,-,-,-,16.03,-,-,83.9,-
930,新北市,2007/12,板橋,5.8,0.84,-,19.2,65,39,41.22,12.05,29.17,2.512,0.441,2.071,-,-,19.57,-,-,67.93,-
931,新北市,2007/12,三重,6.4,2.06,-,-,83,-,138.11,96.35,41.76,2.879,0.929,1.95,-,-,19.93,-,-,68.81,-
932,新北市,2007/12,菜寮,5.8,0.89,-,21.2,65,36,42.18,15.61,26.56,-,-,-,-,-,19.81,-,-,69.29,-
933,新北市,2007/12,永和,5.8,1.08,-,21.1,67,39,50.83,22.54,28.29,-,-,-,-,-,19.61,-,-,71.39,-
934,新北市,2007/12,新莊,6.8,0.77,-,23.2,62,37,37.49,12.09,25.39,-,-,-,-,-,18.96,-,-,71.94,-
935,新北市,2007/12,新店,4.2,0.56,-,22.0,54,32,24.0,5.42,18.58,-,-,-,-,-,19.13,-,-,74.63,-
936,新北市,2007/12,淡水,3.8,0.57,-,27.9,56,33,18.88,4.57,14.3,-,-,-,-,-,18.21,-,-,77.35,-
937,新北市,2007/12,汐止,6.2,0.61,-,22.6,60,33,32.96,10.22,22.73,-,-,-,-,-,19.51,-,-,80.17,-
938,新北市,2007/12,土城,5.2,0.74,-,17.6,68,40,36.95,12.27,24.68,2.437,0.389,2.048,-,-,19.3,-,-,72.0,-
939,新北市,2007/12,林口,5.1,0.5,-,24.6,66,40,21.22,3.58,17.62,-,-,-,-,-,17.03,-,-,77.01,-
940,新北市,2007/12,萬里,3.4,0.36,-,35.7,67,27,9.29,1.61,7.68,-,-,-,-,-,18.74,-,-,77.1,-
941,新北市,2007/11,板橋,3.4,0.61,-,27.3,42,23,32.17,6.12,26.04,2.293,0.311,1.982,-,-,20.93,-,-,72.1,-
942,新北市,2007/11,三重,3.9,1.64,-,-,66,31,114.0,73.92,40.08,2.565,0.737,1.828,-,-,21.41,-,-,71.23,-
943,新北市,2007/11,菜寮,3.8,0.6,-,26.4,40,19,27.28,5.85,21.42,-,-,-,-,-,21.29,-,-,71.53,-
944,新北市,2007/11,永和,3.7,0.73,-,27.2,42,23,34.11,12.82,21.29,-,-,-,-,-,20.73,-,-,79.25,-
945,新北市,2007/11,新莊,3.7,0.5,-,27.3,38,20,24.68,3.05,21.62,-,-,-,-,-,20.31,-,-,74.97,-
946,新北市,2007/11,新店,2.6,0.37,-,32.4,34,19,16.43,2.15,14.28,-,-,-,-,-,20.43,-,-,79.2,-
947,新北市,2007/11,淡水,2.1,0.33,-,39.5,32,17,8.43,1.28,7.12,-,-,-,-,-,19.91,-,-,78.38,-
948,新北市,2007/11,汐止,3.9,0.34,-,33.2,39,20,18.81,2.8,16.0,-,-,-,-,-,20.87,-,-,82.78,-
949,新北市,2007/11,土城,2.9,0.49,-,29.7,39,21,22.47,4.11,18.35,2.262,0.244,2.018,-,-,20.73,-,-,76.36,-
950,新北市,2007/11,林口,2.9,0.28,-,41.1,43,24,12.1,1.28,10.8,-,-,-,-,-,18.4,-,-,78.52,-
951,新北市,2007/11,萬里,1.7,0.21,-,45.4,69,17,5.02,0.95,4.03,-,-,-,-,-,20.34,-,-,79.46,-
952,新北市,2007/10,板橋,3.2,0.58,-,28.3,40,22,27.76,5.11,22.64,2.241,0.274,1.967,-,-,24.89,-,-,69.74,-
953,新北市,2007/10,三重,4.2,1.59,-,-,59,28,101.28,64.44,36.84,2.519,0.695,1.824,-,-,25.07,-,-,71.0,-
954,新北市,2007/10,菜寮,3.3,0.56,-,29.7,39,18,24.24,4.95,19.29,-,-,-,-,-,25.6,-,-,69.1,-
955,新北市,2007/10,永和,3.3,0.75,-,26.2,41,21,31.86,11.69,20.17,-,-,-,-,-,24.66,-,-,75.28,-
956,新北市,2007/10,新莊,3.6,0.47,-,28.7,37,18,21.32,2.98,18.34,-,-,-,-,-,24.49,-,-,72.18,-
957,新北市,2007/10,新店,2.6,0.37,-,31.5,34,16,15.38,2.24,13.13,-,-,-,-,-,24.3,-,-,78.92,-
958,新北市,2007/10,淡水,2.3,0.36,-,36.7,31,16,9.51,1.76,7.74,-,-,-,-,-,23.85,-,-,76.5,-
959,新北市,2007/10,汐止,4.0,0.38,-,29.8,38,19,20.68,4.03,16.64,-,-,-,-,-,24.66,-,-,81.31,-
960,新北市,2007/10,土城,2.8,0.43,-,31.3,36,19,16.89,2.48,14.39,2.186,0.22,1.965,-,-,24.78,-,-,72.81,-
961,新北市,2007/10,林口,2.6,0.27,-,38.8,51,20,12.13,1.86,10.25,-,-,-,-,-,22.42,-,-,75.48,-
962,新北市,2007/10,萬里,1.7,0.2,-,44.4,64,-,6.5,1.35,5.13,-,-,-,-,-,23.74,-,-,81.43,-
963,新北市,2007/09,板橋,3.9,0.64,-,26.2,41,26,29.91,7.86,22.05,2.248,0.347,1.901,-,-,27.88,-,-,70.79,-
964,新北市,2007/09,三重,3.9,1.66,-,-,57,35,101.77,64.17,37.6,2.597,0.723,1.874,-,-,27.79,-,-,74.73,-
965,新北市,2007/09,菜寮,3.5,0.71,-,27.0,41,23,30.28,8.63,21.64,-,-,-,-,-,28.36,-,-,72.11,-
966,新北市,2007/09,永和,3.9,0.99,-,20.4,38,25,39.79,16.8,23.0,-,-,-,-,-,27.72,-,-,75.99,-
967,新北市,2007/09,新莊,4.5,0.55,-,26.1,38,25,24.98,5.72,19.25,-,-,-,-,-,27.38,-,-,74.75,-
968,新北市,2007/09,新店,2.8,0.4,-,29.3,34,18,16.56,3.62,12.94,-,-,-,-,-,27.17,-,-,79.2,-
969,新北市,2007/09,淡水,2.7,0.46,-,28.5,45,22,15.83,3.04,12.78,-,-,-,-,-,26.73,-,-,78.2,-
970,新北市,2007/09,汐止,4.3,0.43,-,27.9,39,23,22.77,6.55,16.21,-,-,-,-,-,27.74,-,-,81.25,-
971,新北市,2007/09,土城,3.0,0.51,-,28.8,38,24,23.94,6.38,17.56,2.251,0.289,1.962,-,-,27.73,-,-,73.75,-
972,新北市,2007/09,林口,3.2,0.37,-,29.4,58,25,17.1,3.27,13.8,-,-,-,-,-,25.58,-,-,78.54,-
973,新北市,2007/09,萬里,2.5,0.23,-,42.5,45,20,7.89,1.39,6.47,-,-,-,-,-,26.89,-,-,82.04,-
974,新北市,2007/08,板橋,5.9,0.68,-,21.7,35,23,35.67,14.18,21.48,2.372,0.458,1.914,-,-,29.13,-,-,71.63,-
975,新北市,2007/08,三重,4.8,1.84,-,-,52,29,112.97,76.12,36.86,2.806,0.839,1.968,-,-,29.18,-,-,74.09,-
976,新北市,2007/08,菜寮,4.4,0.79,-,20.7,33,17,38.11,15.45,22.66,-,-,-,-,-,29.84,-,-,70.98,-
977,新北市,2007/08,永和,4.5,1.16,-,15.5,31,19,48.37,23.29,25.07,-,-,-,-,-,28.75,-,-,74.95,-
978,新北市,2007/08,新莊,8.0,0.63,-,19.2,35,22,34.83,12.19,22.64,-,-,-,-,-,28.64,-,-,75.85,-
979,新北市,2007/08,新店,2.3,0.37,-,24.3,27,14,17.5,5.02,12.47,-,-,-,-,-,28.54,-,-,79.32,-
980,新北市,2007/08,淡水,3.0,0.44,-,22.3,37,15,20.25,6.79,13.46,-,-,-,-,-,28.03,-,-,78.88,-
981,新北市,2007/08,汐止,4.9,0.46,-,20.5,31,16,27.52,11.1,16.41,-,-,-,-,-,29.47,-,-,78.3,-
982,新北市,2007/08,土城,4.1,0.55,-,21.1,36,18,32.88,13.01,19.87,2.301,0.369,1.932,-,-,28.75,-,-,76.16,-
983,新北市,2007/08,林口,5.4,0.38,-,20.3,48,19,24.86,7.25,17.6,-,-,-,-,-,26.84,-,-,79.28,-
984,新北市,2007/08,萬里,3.0,0.2,-,28.0,23,9,10.16,2.01,8.14,-,-,-,-,-,27.94,-,-,81.69,-
985,新北市,2007/07,板橋,6.6,0.63,-,27.6,55,31,38.45,14.25,24.19,2.36,0.455,1.905,-,-,30.95,-,-,65.39,-
986,新北市,2007/07,三重,6.4,2.0,-,-,69,38,127.53,82.37,45.16,2.841,0.926,1.916,-,-,31.08,-,-,66.6,-
987,新北市,2007/07,菜寮,5.9,0.81,-,30.9,46,25,39.88,13.51,26.36,-,-,-,-,-,31.47,-,-,64.2,-
988,新北市,2007/07,永和,5.4,1.28,-,21.8,44,29,52.61,22.1,30.51,-,-,-,-,-,29.94,-,-,69.6,-
989,新北市,2007/07,新莊,10.9,0.58,-,27.0,48,28,34.55,11.15,23.4,-,-,-,-,-,30.5,-,-,67.83,-
990,新北市,2007/07,新店,3.5,0.43,-,31.4,43,23,19.49,3.97,15.52,-,-,-,-,-,29.79,-,-,76.88,-
991,新北市,2007/07,淡水,3.8,0.39,-,25.7,46,21,19.31,4.92,14.39,-,-,-,-,-,29.19,-,-,74.56,-
992,新北市,2007/07,汐止,6.6,0.5,-,29.6,44,24,27.84,8.63,19.2,-,-,-,-,-,30.76,-,-,73.71,-
993,新北市,2007/07,土城,5.2,0.56,-,27.7,50,29,34.46,12.94,21.52,2.31,0.41,1.902,-,-,30.0,-,-,71.65,-
994,新北市,2007/07,林口,6.6,0.36,-,24.4,64,26,25.04,4.86,20.17,-,-,-,-,-,28.7,-,-,70.95,-
995,新北市,2007/07,萬里,3.3,0.25,-,34.1,28,16,12.93,1.88,11.05,-,-,-,-,-,29.09,-,-,76.86,-
996,新北市,2007/06,板橋,6.7,0.88,-,22.1,42,27,44.42,16.08,28.34,2.691,0.61,2.081,-,-,28.41,-,-,75.36,-
997,新北市,2007/06,三重,5.8,2.03,-,-,52,33,133.99,89.65,44.35,2.947,0.944,2.003,-,-,28.33,-,-,77.74,-
998,新北市,2007/06,菜寮,5.3,0.96,-,22.8,37,21,48.49,17.99,30.5,-,-,-,-,-,28.82,-,-,75.46,-
999,新北市,2007/06,永和,5.8,1.56,-,16.9,39,26,66.79,31.51,35.28,-,-,-,-,-,27.42,-,-,79.25,-
1000,新北市,2007/06,新莊,8.7,0.78,-,24.0,40,24,42.69,13.91,28.78,-,-,-,-,-,27.83,-,-,79.03,-
1001,新北市,2007/06,新店,3.5,0.54,-,23.4,36,17,26.5,7.0,19.51,-,-,-,-,-,27.55,-,-,85.05,-
1002,新北市,2007/06,淡水,3.1,0.53,-,23.7,37,17,24.25,6.62,17.63,-,-,-,-,-,26.94,-,-,84.06,-
1003,新北市,2007/06,汐止,7.0,0.58,-,23.0,37,20,37.79,13.67,24.12,-,-,-,-,-,28.19,-,-,84.08,-
1004,新北市,2007/06,土城,4.8,0.7,-,21.8,41,26,42.06,15.42,26.65,2.428,0.509,1.919,-,-,27.69,-,-,80.44,-
1005,新北市,2007/06,林口,5.5,0.45,-,21.0,44,23,30.79,7.58,23.21,-,-,-,-,-,26.12,-,-,81.68,-
1006,新北市,2007/06,萬里,3.0,0.27,-,32.0,26,12,12.56,2.02,10.54,-,-,-,-,-,26.52,-,-,86.78,-
1007,新北市,2007/05,板橋,6.9,0.78,-,32.2,66,41,35.44,7.26,28.18,2.506,0.416,2.09,-,-,26.71,-,-,65.11,-
1008,新北市,2007/05,三重,5.7,1.83,-,-,80,49,120.82,71.31,49.52,2.778,0.783,1.995,-,-,26.78,-,-,67.59,-
1009,新北市,2007/05,菜寮,5.4,0.87,-,35.1,63,38,40.8,10.11,30.69,-,-,-,-,-,27.33,-,-,64.9,-
1010,新北市,2007/05,永和,5.4,1.29,-,30.5,64,39,54.7,19.99,34.72,-,-,-,-,-,25.69,-,-,69.15,-
1011,新北市,2007/05,新莊,8.2,0.72,-,35.9,65,39,35.88,7.67,28.21,-,-,-,-,-,26.3,-,-,68.54,-
1012,新北市,2007/05,新店,3.5,0.51,-,34.8,55,31,19.7,2.72,16.97,-,-,-,-,-,26.05,-,-,73.89,-
1013,新北市,2007/05,淡水,3.5,0.5,-,37.0,58,29,20.06,2.61,17.45,-,-,-,-,-,-,-,-,-,-
1014,新北市,2007/05,汐止,6.1,0.6,-,32.8,63,32,33.65,8.72,24.93,-,-,-,-,-,25.78,-,-,75.93,-
1015,新北市,2007/05,土城,5.4,0.68,-,32.2,69,39,37.6,10.7,26.9,2.362,0.414,1.947,-,-,26.21,-,-,70.14,-
1016,新北市,2007/05,林口,5.4,0.49,-,37.3,70,32,25.6,3.05,22.55,-,-,-,-,-,24.39,-,-,73.48,-
1017,新北市,2007/05,萬里,3.3,0.35,-,44.4,53,24,12.11,1.7,10.4,-,-,-,-,-,24.55,-,-,78.33,-
1018,新北市,2007/04,板橋,5.2,0.84,-,31.6,61,38,38.36,7.88,30.48,2.497,0.399,2.098,-,-,21.33,-,-,72.67,-
1019,新北市,2007/04,三重,4.7,1.92,-,-,74,47,128.86,81.29,47.57,2.866,0.836,2.031,-,-,21.54,-,-,76.05,-
1020,新北市,2007/04,菜寮,4.7,0.91,-,32.9,59,34,45.48,11.96,33.52,-,-,-,-,-,22.11,-,-,71.06,-
1021,新北市,2007/04,永和,4.9,1.25,-,29.0,58,-,57.5,21.73,35.77,-,-,-,-,-,20.48,-,-,77.41,-
1022,新北市,2007/04,新莊,5.7,0.74,-,35.0,60,38,35.95,6.84,29.1,-,-,-,-,-,20.95,-,-,75.91,-
1023,新北市,2007/04,新店,3.3,0.57,-,33.4,50,32,23.23,3.24,19.98,-,-,-,-,-,21.06,-,-,80.23,-
1024,新北市,2007/04,淡水,2.8,0.5,-,38.9,49,31,19.79,3.05,16.71,-,-,-,-,-,-,-,-,-,-
1025,新北市,2007/04,汐止,6.0,0.61,-,33.7,56,32,36.85,9.67,27.17,-,-,-,-,-,20.77,-,-,82.28,-
1026,新北市,2007/04,土城,4.0,0.71,-,32.2,61,36,36.37,8.83,27.54,2.336,0.371,1.965,-,-,21.15,-,-,76.3,-
1027,新北市,2007/04,林口,4.0,0.46,-,42.4,67,35,23.92,2.96,20.93,-,-,-,-,-,19.02,-,-,83.15,-
1028,新北市,2007/04,萬里,2.2,0.36,-,47.3,55,24,9.66,1.26,8.38,-,-,-,-,-,20.19,-,-,79.02,-
1029,新北市,2007/03,板橋,6.3,0.96,-,24.2,56,-,44.51,13.15,31.36,2.613,0.503,2.11,-,-,19.72,-,-,81.82,-
1030,新北市,2007/03,三重,5.6,2.16,-,-,72,47,151.26,103.06,48.2,3.068,0.999,2.069,-,-,20.19,-,-,78.2,-
1031,新北市,2007/03,菜寮,5.1,1.09,-,24.2,56,-,55.78,20.94,34.84,-,-,-,-,-,20.49,-,-,73.74,-
1032,新北市,2007/03,永和,8.0,1.49,-,19.9,58,38,72.56,35.09,37.47,-,-,-,-,-,18.92,-,-,80.89,-
1033,新北市,2007/03,新莊,6.9,0.85,-,26.6,54,-,44.33,13.83,30.5,-,-,-,-,-,19.33,-,-,77.93,-
1034,新北市,2007/03,新店,3.5,0.67,-,26.8,45,-,29.3,6.18,23.11,-,-,-,-,-,19.68,-,-,82.54,-
1035,新北市,2007/03,淡水,3.1,0.6,-,32.8,43,26,24.94,7.26,17.67,-,-,-,-,-,-,-,-,-,-
1036,新北市,2007/03,汐止,6.4,0.7,-,27.2,51,31,40.25,13.48,26.77,-,-,-,-,-,19.43,-,-,85.46,-
1037,新北市,2007/03,土城,5.3,0.84,-,24.3,57,-,45.99,16.16,29.82,2.474,0.479,1.995,-,-,19.61,-,-,82.0,-
1038,新北市,2007/03,林口,4.1,0.51,-,34.5,57,-,24.5,4.2,20.29,-,-,-,-,-,17.46,-,-,88.95,-
1039,新北市,2007/03,萬里,2.3,0.38,-,44.1,49,22,11.64,2.1,9.49,-,-,-,-,-,18.98,-,-,80.21,-
1040,新北市,2007/02,板橋,6.8,0.93,-,24.3,70,47,45.22,14.26,30.95,2.595,0.501,2.093,-,-,18.74,-,-,71.56,-
1041,新北市,2007/02,三重,6.2,2.07,-,-,85,-,151.76,102.1,49.66,3.035,0.978,2.057,-,-,19.22,-,-,63.65,-
1042,新北市,2007/02,菜寮,5.7,1.04,-,25.9,66,41,57.88,24.17,33.71,-,-,-,-,-,19.42,-,-,67.46,-
1043,新北市,2007/02,永和,5.9,1.37,-,21.5,62,45,66.88,30.83,36.05,-,-,-,-,-,17.92,-,-,68.89,-
1044,新北市,2007/02,新莊,6.9,0.9,-,26.9,64,43,51.53,19.91,31.61,-,-,-,-,-,18.17,-,-,68.69,-
1045,新北市,2007/02,新店,3.9,0.58,-,28.1,52,32,25.35,5.04,20.3,-,-,-,-,-,18.64,-,-,73.62,-
1046,新北市,2007/02,淡水,3.6,0.57,-,32.2,56,34,25.28,7.54,17.73,-,-,-,-,-,-,-,-,-,-
1047,新北市,2007/02,汐止,6.0,0.7,-,26.6,61,32,42.66,18.24,24.4,-,-,-,-,-,18.12,-,-,72.51,-
1048,新北市,2007/02,土城,6.0,0.81,-,25.8,70,43,49.02,19.82,29.19,2.47,0.468,2.002,-,-,18.53,-,-,73.03,-
1049,新北市,2007/02,林口,4.5,0.5,-,35.3,69,35,24.42,4.79,19.59,-,-,-,-,-,16.48,-,-,79.55,-
1050,新北市,2007/02,萬里,3.0,0.35,-,41.6,53,27,10.9,1.72,9.15,-,-,-,-,-,17.55,-,-,76.26,-
1051,新北市,2007/01,板橋,5.7,0.79,-,21.0,53,31,33.86,7.17,26.69,2.358,0.338,2.02,-,-,17.21,-,-,73.01,-
1052,新北市,2007/01,三重,6.0,1.95,-,-,76,40,136.56,93.46,43.1,2.89,0.876,2.014,-,-,17.82,-,-,64.23,-
1053,新北市,2007/01,菜寮,5.9,0.83,-,17.5,56,29,38.4,11.84,26.56,-,-,-,-,-,18.02,-,-,67.85,-
1054,新北市,2007/01,永和,5.6,1.17,-,18.5,56,34,51.51,23.53,27.98,-,-,-,-,-,16.26,-,-,70.41,-
1055,新北市,2007/01,新莊,5.9,0.72,-,23.2,46,29,31.62,7.23,24.38,-,-,-,-,-,16.77,-,-,69.73,-
1056,新北市,2007/01,新店,4.2,0.57,-,25.3,45,25,22.11,4.58,17.53,-,-,-,-,-,16.93,-,-,75.24,-
1057,新北市,2007/01,淡水,3.8,0.5,-,30.7,48,26,15.61,3.24,12.36,-,-,-,-,-,-,-,-,-,-
1058,新北市,2007/01,汐止,7.6,0.6,-,18.9,55,25,32.72,10.98,21.74,-,-,-,-,-,16.53,-,-,74.6,-
1059,新北市,2007/01,土城,4.9,0.68,-,23.0,54,28,30.55,7.89,22.66,2.268,0.33,1.938,-,-,17.14,-,-,73.87,-
1060,新北市,2007/01,林口,4.3,0.46,-,30.5,60,27,17.36,2.19,15.13,-,-,-,-,-,14.69,-,-,84.31,-
1061,新北市,2007/01,萬里,3.4,0.37,-,38.7,68,26,7.32,1.13,6.16,-,-,-,-,-,16.56,-,-,75.59,-
1062,新北市,2006/12,板橋,4.6,0.72,-,20.2,39,24,33.54,8.11,25.43,2.378,0.335,2.044,-,-,18.66,-,-,77.02,-
1063,新北市,2006/12,三重,4.8,1.84,-,-,61,31,120.97,80.1,40.87,2.977,0.868,2.109,-,-,19.19,-,-,67.17,-
1064,新北市,2006/12,菜寮,4.2,0.73,-,19.1,43,23,34.63,10.0,24.63,-,-,-,-,-,19.59,-,-,69.89,-
1065,新北市,2006/12,永和,4.7,1.06,-,20.4,42,26,44.52,19.14,25.37,-,-,-,-,-,17.68,-,-,73.1,-
1066,新北市,2006/12,新莊,4.5,0.67,-,23.9,36,23,30.16,6.79,23.36,-,-,-,-,-,18.41,-,-,71.02,-
1067,新北市,2006/12,新店,2.9,0.47,-,27.5,31,17,19.76,4.71,15.05,-,-,-,-,-,18.35,-,-,77.13,-
1068,新北市,2006/12,淡水,2.5,0.45,-,32.2,35,19,14.93,3.61,11.31,-,-,-,-,-,-,-,-,-,-
1069,新北市,2006/12,汐止,5.4,0.46,-,23.3,40,19,26.51,6.89,19.61,-,-,-,-,-,18.17,-,-,75.58,-
1070,新北市,2006/12,土城,3.8,0.58,-,24.7,40,20,29.42,8.29,21.11,2.21,0.292,1.919,-,-,18.61,-,-,76.18,-
1071,新北市,2006/12,林口,3.2,0.41,-,30.8,46,21,16.76,2.26,14.47,-,-,-,-,-,16.46,-,-,86.05,-
1072,新北市,2006/12,萬里,2.2,0.27,-,42.5,61,18,5.36,0.97,4.35,-,-,-,-,-,18.66,-,-,74.44,-
